Well,Sample_ID,Apiary_ID,Content,Cq,SQ,Melt Temp
C03,MM_Swede_091620_F3,MM_Swede,Unkn,35.44238064,13.57929458,80
C04,MM_Swede_091620_F4,MM_Swede,Unkn,37.5704371,4.073038842,None
C06,MM_Swede_091620_F6,MM_Swede,Unkn,,,None
C07,MM_Swede_091620_F7,MM_Swede,Unkn,,,None
C08,MM_Swede_091620_F8,MM_Swede,Unkn,26.76979432,1837.044117,82
C09,MM_Swede_091620_F9,MM_Swede,Unkn,36.99901468,5.627851113,None
D11,MM_Swede_091520_Control,MM_Swede,Neg Ctrl,38.66153663,2.196780137,None
D01,MM_Swede_091520_F16,MM_Swede,Unkn,,,None
D02,MM_Swede_091520_F17,MM_Swede,Unkn,37.01533848,5.576107156,None
D03,MM_Swede_091520_F19,MM_Swede,Unkn,,,None
B04,MM_Swede_091520_F20,MM_Swede,Unkn,,,None
D05,MM_Swede_091520_F21,MM_Swede,Unkn,33.58532706,38.83634406,76
D06,MM_Swede_091520_F22,MM_Swede,Unkn,,,None
D07,MM_Swede_091520_F23,MM_Swede,Unkn,,,None
D08,MM_Swede_091520_F24,MM_Swede,Unkn,,,None
D09,MM_Swede_091520_F25,MM_Swede,Unkn,,,None
D10,MM_Swede_091520_F26,MM_Swede,Unkn,,,None
D12,MM-cDNA control,MM_Swede,Neg Ctrl,,,None
A11,NG_Ball_Rd_091020_Control,NG_Ball,Neg Ctrl,31.8815158,195.5392694,74
A05,NG_Ball_Rd_091020_F10,NG_Ball_Rd,Unkn,34.67021807,39.62556406,82.5
A06,NG_Ball_Rd_091020_F11,NG_Ball_Rd,Unkn,,,None
A07,NG_Ball_Rd_091020_F12,NG_Ball_Rd,Unkn,,,None
A09,NG_Ball_Rd_091020_F13,NG_Ball_Rd,Unkn,25.72964383,6615.474649,82.5
A08,NG_Ball_Rd_091020_F14,NG_Ball_Rd,Unkn,31.08371569,308.7190426,82.5
A10,NG_Ball_Rd_091020_F15,NG_Ball_Rd,Unkn,28.67513765,1225.532459,82
A01,NG_Ball_Rd_091020_F2,NG_Ball_Rd,Unkn,30.49461125,432.5258486,82.5
A02,NG_Ball_Rd_091020_F6,NG_Ball_Rd,Unkn,,,None
A03,NG_Ball_Rd_091020_F8,NG_Ball_Rd,Unkn,,,None
A04,NG_Ball_Rd_091020_F9,NG_Ball_Rd,Unkn,38.11561787,5.513976948,None
B11,NG_Ball_Rd_092020_Control1,NG_Ball,Neg Ctrl,,,None
B12,NG_Ball_Rd_092020_Control2,NG_Ball,Neg Ctrl,,,None
B01,NG_Ball_Rd_092020_F1,NG_Ball_Rd,Unkn,,,None
B10,NG_Ball_Rd_092020_F10,NG_Ball_Rd,Unkn,,,None
B02,NG_Ball_Rd_092020_F2,NG_Ball_Rd,Unkn,35.76259506,21.20389142,77.5
B03,NG_Ball_Rd_092020_F3,NG_Ball_Rd,Unkn,32.23306152,159.8973783,82
B04,NG_Ball_Rd_092020_F4,NG_Ball_Rd,Unkn,37.99255652,5.916398639,None
B05,NG_Ball_Rd_092020_F5,NG_Ball_Rd,Unkn,39.13953097,3.0684911,None
B06,NG_Ball_Rd_092020_F6,NG_Ball_Rd,Unkn,,,None
B07,NG_Ball_Rd_092020_F7,NG_Ball_Rd,Unkn,,,None
B08,NG_Ball_Rd_092020_F8,NG_Ball_Rd,Unkn,,,None
B09,NG_Ball_Rd_092020_F9,NG_Ball_Rd,Unkn,35.13116972,30.43581963,77.5
A12,NG-cDNA control,NG_Ball,Neg Ctrl,,,None
F11,QN_Millers_091820_Control,QN_Millers,Neg Ctrl,,,None
F01,QN_Millers_091820_F1,QN_Millers,Unkn,35.21551414,4.583433325,82
F10,QN_Millers_091820_F10,QN_Millers,Unkn,,,None
